variable_name,variable_label,variable_class,n_unique_values,is_original_imported,is_clean_numeric,is_analytical_recode,is_derived_script05
H1GI20,S1Q20 GRADE-W1,haven_labelled,7,TRUE,FALSE,FALSE,FALSE
H1GI1Y,S1Q1 BIRTH YEAR-W1,haven_labelled,11,TRUE,FALSE,FALSE,FALSE
H1GI1M,S1Q1 BIRTH MONTH-W1,haven_labelled,13,TRUE,FALSE,FALSE,FALSE
IMONTH,MONTH OF INTERVIEW-W1,haven_labelled; vctrs_vctr; double,10,TRUE,FALSE,FALSE,FALSE
IYEAR,YEAR OF INTERVIEW-W1,haven_labelled; vctrs_vctr; double,2,TRUE,FALSE,FALSE,FALSE
H1CO1,S24Q1 EVER HAVE SEX-W1,haven_labelled,3,TRUE,FALSE,FALSE,FALSE
H1CO2M,S24Q2M FIRST TIMEN SEX-MONTH-W1,haven_labelled,13,TRUE,FALSE,FALSE,FALSE
H1CO2Y,S24Q2Y FIRST TIME SEX-YEAR-W1,haven_labelled,16,TRUE,FALSE,FALSE,FALSE
H1CO8,S24Q8 EVER USE A CONDOM DURING SEX-W1,haven_labelled,3,TRUE,FALSE,FALSE,FALSE
H1CO9,S24Q9 HOW OFTEN USE CONDOM-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1CO3,S24Q3 FIRST TIME SEX-USE BIRTHCONTROL-W1,haven_labelled,3,TRUE,FALSE,FALSE,FALSE
H1CO6,S24Q6 MOST RECENT SEX-BIRTHCONTROL-W1,haven_labelled,3,TRUE,FALSE,FALSE,FALSE
H1CO13,S24Q13 EVER USE BIRTHCONTROL PILLS-W1,haven_labelled,3,TRUE,FALSE,FALSE,FALSE
H1FP7,S32BQ7 EVER BEEN PREGNANT-W1,haven_labelled,3,TRUE,FALSE,FALSE,FALSE
H1FP8,S32BQ8 NUMBER OF PREGNANCIES-W1,haven_labelled,5,TRUE,FALSE,FALSE,FALSE
H1CO16D,S24Q16A EVER DIAGNOSED-HIV/AIDS-W1,haven_labelled,3,TRUE,FALSE,FALSE,FALSE
H1HS9,S7Q9 TESTING/TREATMENT FOR STDS-W1,haven_labelled,3,TRUE,FALSE,FALSE,FALSE
H1CO16A,S24Q16A EVER DIAGNOSED-CHLAMYDIA-W1,haven_labelled,3,TRUE,FALSE,FALSE,FALSE
H1CO16C,S24Q16A EVER DIAGNOSED-GONORRHEA-W1,haven_labelled,3,TRUE,FALSE,FALSE,FALSE
H1SE1,S9Q1 USE BIRTH CONTROL IF AROUSED-W1,haven_labelled,7,TRUE,FALSE,FALSE,FALSE
H1SE2,S9Q2 BIRTHCONTROL-ADVANCED PLANNING-W1,haven_labelled,7,TRUE,FALSE,FALSE,FALSE
H1SE3,S9Q3 RESIST SEX IF NO BIRTH CONTROL-W1,haven_labelled,7,TRUE,FALSE,FALSE,FALSE
H1PF6,S18Q6 KNOW HOW TO USE CONDOM-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1PF12,S18Q12 FRIENDS KNOW HOW TO USE CONDOM-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1PF9,S18Q9 FRIENDS KNOW WITHDRAWAL METHOD-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1PF17,S18Q17 FRIENDS KNOW RHYTHM METHOD-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1WP1,S16Q1 MAKE OWN DECISION-WKEND CURFEW-W1,haven_labelled,3,TRUE,FALSE,FALSE,FALSE
H1WP2,S16Q2 MAKE OWN DECISION-FRIEND-W1,haven_labelled,3,TRUE,FALSE,FALSE,FALSE
H1WP8,S16Q8 FREQ-EAT DINNER W/ PARENT-W1,haven_labelled,9,TRUE,FALSE,FALSE,FALSE
H1ED19,S5Q19 FEEL CLOSE TO PEOPLE AT SCHOOL-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1ED20,S5Q20 FEEL PART OF YOUR SCHOOL-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1ED23,S5Q23 TEACHERS TREAT STUDENTS FAIRLY-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1ED24,S5Q24 FEEL SAFE IN YOUR SCHOOL-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1PR2,S35Q2 TEACHERS CARE ABOUT YOU-W1,haven_labelled,7,TRUE,FALSE,FALSE,FALSE
BIO_SEX,BIOLOGICAL SEX-W1,haven_labelled,3,TRUE,FALSE,FALSE,FALSE
H1RM1,S14Q1 RES MOM-EDUCATION LEVEL-W1,haven_labelled,13,TRUE,FALSE,FALSE,FALSE
H1RF1,S15Q1 RES DAD-EDUCATION LEVEL-W1,haven_labelled,13,TRUE,FALSE,FALSE,FALSE
PA55,A55 TOTAL HOUSEHOLD INCOME-PQ,haven_labelled,151,TRUE,FALSE,FALSE,FALSE
PA21,A21 RECEIVING PUBLIC ASSISTANCE-PQ,haven_labelled,3,TRUE,FALSE,FALSE,FALSE
H1TS8,S4Q8 LEARNED-AIDS-W1,haven_labelled,3,TRUE,FALSE,FALSE,FALSE
H1GH44,S3Q44 CHANCES OF GETTING AIDS-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1GH46,S3Q46 CHANGES OF GETTING OTHER STDS-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1RP5,S8Q5 RISK OF PREGNANCY W/O PROTECTION-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1RP6,S8Q6 RISK OF AIDS W/O PROTECTION-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1BC6,S27Q6 EASY TO GET BIRTHCONTROL-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1BC1,S27Q1 BIRTHCONTROL TOO BOTHERSOME-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1BC2,S27Q2 BIRTHCONTROL TOO EXPENSIVE-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1BC3,S27Q3 TOO MUCH PLANNING-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1BC4,S27Q4 HARD TO GET PARTNER TO USE-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1BC5,S27Q5 INTERFERES WITH PLEASURE-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1BC7,S27Q7 BIRTHCONTROL USE MORALLY WRONG-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1BC8,S27Q8 BIRTHCONTROL=LOOKING FOR SEX-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1MO1,S17Q1 IF SEX GAIN MORE RESPECT-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1MO2,S17Q2 IF SEX LOSE PARTNER RESPECT-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1MO3,S17Q3 IF SEX WOULD FEEL GUILTY-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1MO5,S17Q5 IF SEX LOT OF PHYSICAL PLEASURE-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1PA3,S34Q3 MOM-USE OF BIRTHCONTROL-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1PA6,S34Q6 DAD-USE OF BIRTHCONTROL-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1PA7,S34Q7 CONSIDER HAVING CHILD UNMARRIED-W1,haven_labelled,3,TRUE,FALSE,FALSE,FALSE
H1PR3,S35Q3 PARENTS CARE ABOUT YOU-W1,haven_labelled,7,TRUE,FALSE,FALSE,FALSE
H1PR5,S35Q5 FAMILY UNDERSTAND YOU-W1,haven_labelled,7,TRUE,FALSE,FALSE,FALSE
H1PR7,S35Q7 FAMIYL HAS FUN TOGETHER-W1,haven_labelled,7,TRUE,FALSE,FALSE,FALSE
H1PR8,S35Q8 FAMILY PAYS ATTENTION TO YOU-W1,haven_labelled,7,TRUE,FALSE,FALSE,FALSE
H1WP9,S16Q9 CLOSE TO MOM-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1WP10,S16Q10 MOM-HOW MUCH DOES SHE CARE-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1WP13,S16Q13 CLOSE TO DAD-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1WP14,S16Q14 DAD-HOW MUCH DOES HE CARE-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1RP3,S8Q3 WILL SUFFER IF HIV POSITIVE-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1MO9,S17Q9 IF PREGNANT EMBARRASS FAMILY-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1MO10,S17Q10 IF PREGNANT EMBARRASS SELF-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1MO11,S17Q11 IF PREGNANT HAVE TO QUIT SCH-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1MO12,S17Q12 IF PREGNANT MARRY WRONG PERSON-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1MO13,S17Q13 IF PREGNANT GROW UP TOO FAST-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
H1MO14,S17Q14 IF PREGNANT MAKE HARD DECISION-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
derived_grade_wave1,NA,numeric,7,TRUE,FALSE,FALSE,TRUE
derived_grade_10_12_flag,NA,logical,2,TRUE,FALSE,FALSE,TRUE
derived_age_wave1,NA,numeric,12,TRUE,FALSE,FALSE,TRUE
derived_age_15_19_flag,NA,logical,2,TRUE,FALSE,FALSE,TRUE
derived_main_sample_flag,NA,logical,2,TRUE,FALSE,FALSE,TRUE
derived_strict_sample_flag,NA,logical,2,TRUE,FALSE,FALSE,TRUE
a_grade_wave1,NA,numeric,7,FALSE,FALSE,TRUE,FALSE
a_sample_grade_10_12,NA,logical,2,FALSE,FALSE,TRUE,FALSE
a_age_wave1,NA,numeric,12,FALSE,FALSE,TRUE,FALSE
a_sample_age_15_19,NA,logical,2,FALSE,FALSE,TRUE,FALSE
a_female,NA,integer,2,FALSE,FALSE,TRUE,FALSE
a_main_sample_grade_10_12,NA,logical,2,FALSE,FALSE,TRUE,FALSE
a_strict_sample_grade_age,NA,logical,2,FALSE,FALSE,TRUE,FALSE
num_H1GI20,NA,numeric,7,FALSE,TRUE,FALSE,FALSE
num_H1GI1Y,NA,numeric,11,FALSE,TRUE,FALSE,FALSE
num_H1GI1M,NA,numeric,13,FALSE,TRUE,FALSE,FALSE
num_IMONTH,NA,numeric,10,FALSE,TRUE,FALSE,FALSE
num_IYEAR,NA,numeric,2,FALSE,TRUE,FALSE,FALSE
num_H1CO1,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1CO2M,NA,numeric,13,FALSE,TRUE,FALSE,FALSE
num_H1CO2Y,NA,numeric,16,FALSE,TRUE,FALSE,FALSE
num_H1CO8,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1CO9,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1CO3,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1CO6,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1CO13,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1FP7,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1FP8,NA,numeric,5,FALSE,TRUE,FALSE,FALSE
num_H1CO16D,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1HS9,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1CO16A,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1CO16C,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1SE1,NA,numeric,7,FALSE,TRUE,FALSE,FALSE
num_H1SE2,NA,numeric,7,FALSE,TRUE,FALSE,FALSE
num_H1SE3,NA,numeric,7,FALSE,TRUE,FALSE,FALSE
num_H1PF6,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1PF12,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1PF9,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1PF17,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1WP1,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1WP2,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1WP8,NA,numeric,9,FALSE,TRUE,FALSE,FALSE
num_H1ED19,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1ED20,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1ED23,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1ED24,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1PR2,NA,numeric,7,FALSE,TRUE,FALSE,FALSE
num_BIO_SEX,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1RM1,NA,numeric,13,FALSE,TRUE,FALSE,FALSE
num_H1RF1,NA,numeric,13,FALSE,TRUE,FALSE,FALSE
num_PA55,NA,numeric,151,FALSE,TRUE,FALSE,FALSE
num_PA21,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1TS8,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1GH44,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1GH46,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1RP5,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1RP6,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1BC6,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1BC1,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1BC2,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1BC3,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1BC4,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1BC5,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1BC7,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1BC8,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1MO1,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1MO2,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1MO3,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1MO5,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1PA3,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1PA6,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1PA7,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1PR3,NA,numeric,7,FALSE,TRUE,FALSE,FALSE
num_H1PR5,NA,numeric,7,FALSE,TRUE,FALSE,FALSE
num_H1PR7,NA,numeric,7,FALSE,TRUE,FALSE,FALSE
num_H1PR8,NA,numeric,7,FALSE,TRUE,FALSE,FALSE
num_H1WP9,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1WP10,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1WP13,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1WP14,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1RP3,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1MO9,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1MO10,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1MO11,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1MO12,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1MO13,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1MO14,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
a_sex_ever,NA,integer,3,FALSE,FALSE,TRUE,FALSE
a_H1CO8_yesno,NA,integer,3,FALSE,FALSE,TRUE,FALSE
a_H1CO9_yesno,NA,integer,1,FALSE,FALSE,TRUE,FALSE
a_H1CO3_yesno,NA,integer,3,FALSE,FALSE,TRUE,FALSE
a_H1CO6_yesno,NA,integer,3,FALSE,FALSE,TRUE,FALSE
a_H1CO13_yesno,NA,integer,3,FALSE,FALSE,TRUE,FALSE
a_H1FP7_yesno,NA,integer,3,FALSE,FALSE,TRUE,FALSE
a_H1FP8_yesno,NA,integer,1,FALSE,FALSE,TRUE,FALSE
a_H1CO16D_yesno,NA,integer,3,FALSE,FALSE,TRUE,FALSE
a_H1HS9_yesno,NA,integer,3,FALSE,FALSE,TRUE,FALSE
a_H1CO16A_yesno,NA,integer,3,FALSE,FALSE,TRUE,FALSE
a_H1CO16C_yesno,NA,integer,3,FALSE,FALSE,TRUE,FALSE
